anio,estacion,PRCPTOT,SDII,CWD,CDD,R10mm,R20mm,R40mm,R95pTOT,R99pTOT,Rx1day,Rx5day,FD,SU,ID,TR,TXx,TNx,TXn,TNn,TN10p,TX10p,TN90p,TX90p,WSDI,CSDI,DTR,GSL
1967,Invierno,297.1,16.344444444444445,3.0,18.0,9.0,4.0,2.0,62.2,0.0,62.2,81.0,15,0,0,0,19.8,13.2,6.2,-5.7,17.391304347826086,16.304347826086957,2.1739130434782608,2.1739130434782608,0,0,9.246739130434781,
1967,Otoño,240.0,11.78,2.0,25.0,9.0,3.0,1.0,54.7,0.0,54.7,68.5,0,28,0,1,34.1,20.5,10.8,2.1,17.391304347826086,9.782608695652174,10.869565217391305,27.173913043478258,0,0,11.851086956521737,
1967,Primavera,545.4,21.747999999999998,3.0,10.0,14.0,11.0,5.0,203.2,0.0,69.3,203.8,0,15,0,0,29.3,19.7,10.7,1.1,3.296703296703297,3.296703296703297,17.582417582417584,9.89010989010989,0,0,9.634065934065934,
1967,Verano,141.8,10.738461538461538,2.0,21.0,6.0,2.0,0.0,0.0,0.0,28.1,55.6,0,75,0,14,38.1,23.8,20.6,5.4,13.333333333333334,6.666666666666667,12.222222222222221,7.777777777777778,0,0,12.851111111111113,
1968,Invierno,195.00000000000003,8.736363636363636,3.0,12.0,7.0,2.0,0.0,0.0,0.0,35.2,52.4,3,0,0,0,23.2,13.7,8.6,-0.8,3.260869565217391,2.1739130434782608,18.478260869565215,13.043478260869565,0,0,8.431521739130433,
1968,Otoño,82.3,10.2125,2.0,30.0,2.0,2.0,0.0,0.0,0.0,33.4,33.4,2,26,0,1,32.1,21.6,12.6,-1.2,25.0,14.130434782608695,2.1739130434782608,6.521739130434782,0,0,12.496739130434781,
1968,Primavera,243.79999999999995,18.415384615384614,4.0,27.0,8.0,2.0,1.0,89.2,89.2,89.2,97.7,2,19,0,0,32.6,18.9,10.4,-1.0,8.791208791208792,4.395604395604396,13.186813186813188,10.989010989010989,0,0,10.431868131868132,
1968,Verano,313.4,15.55,4.0,18.0,10.0,5.0,3.0,53.0,0.0,53.0,122.80000000000001,0,66,0,13,37.5,22.3,21.2,7.7,8.791208791208792,8.791208791208792,10.989010989010989,9.89010989010989,0,0,11.542857142857144,
1969,Invierno,139.6,13.84,2.0,37.0,5.0,1.0,1.0,60.0,0.0,60.0,62.2,10,0,0,0,24.7,17.1,9.0,-2.4,19.565217391304348,6.521739130434782,10.869565217391305,11.956521739130435,0,0,10.045652173913044,
1969,Otoño,384.90000000000003,27.407142857142855,2.0,22.0,10.0,7.0,3.0,195.5,82.8,82.8,106.4,0,28,0,3,32.6,21.8,13.0,1.9,10.869565217391305,7.608695652173914,15.217391304347828,17.391304347826086,0,0,10.61086956521739,
1969,Primavera,135.6,7.466666666666665,2.0,18.0,6.0,0.0,0.0,0.0,0.0,18.2,26.599999999999998,0,18,0,1,30.2,21.0,10.7,0.1,17.582417582417584,4.395604395604396,5.4945054945054945,9.89010989010989,0,0,11.891208791208793,
1969,Verano,174.89999999999998,15.82727272727273,2.0,14.0,7.0,4.0,0.0,0.0,0.0,33.0,57.0,0,77,0,11,36.4,24.5,21.6,6.5,15.555555555555555,10.0,11.11111111111111,11.11111111111111,0,0,12.36888888888889,
1970,Invierno,111.99999999999999,10.85,2.0,19.0,3.0,3.0,0.0,0.0,0.0,34.0,34.8,10,0,0,0,24.1,14.8,7.9,-3.6,14.130434782608695,9.782608695652174,11.956521739130435,9.782608695652174,0,0,9.396739130434783,
1970,Otoño,236.0,12.194736842105263,4.0,22.0,9.0,3.0,1.0,53.8,0.0,53.8,81.5,0,27,0,6,33.9,24.1,12.2,0.8,5.434782608695652,11.956521739130435,17.391304347826086,20.652173913043477,0,0,10.23804347826087,
1970,Primavera,235.70000000000002,14.587499999999999,2.0,13.0,6.0,4.0,1.0,80.1,80.1,80.1,84.1,0,9,0,0,27.6,18.3,12.5,0.5,18.681318681318682,7.6923076923076925,10.989010989010989,4.395604395604396,0,0,11.187912087912089,
1970,Verano,159.6,11.264285714285716,2.0,21.0,8.0,1.0,0.0,0.0,0.0,21.2,39.6,0,76,0,24,36.8,26.4,19.5,3.8,16.666666666666664,12.222222222222221,17.77777777777778,15.555555555555555,0,0,12.155555555555555,
