anio,PRCPTOT,SDII,CWD,CDD,R10mm,R20mm,R40mm,R95pTOT,R99pTOT,Rx1day,Rx5day,FD,SU,ID,TR,TXx,TNx,TXn,TNn,TN10p,TX10p,TN90p,TX90p,WSDI,CSDI,DTR,GSL
1981,1148.8,14.24375,4.0,36.0,36.0,17.0,7.0,165.1,92.0,92.0,163.89999999999998,8,103,0,15,34.4,23.5,7.0,-2.5,9.863013698630137,11.78082191780822,13.424657534246576,8.493150684931507,0,0,9.921917808219177,
1982,999.1,14.328985507246378,8.0,23.0,30.0,18.0,4.0,232.3,110.7,110.7,125.49999999999999,8,115,0,21,38.4,23.2,6.0,-4.2,9.863013698630137,10.41095890410959,14.246575342465754,10.136986301369863,0,0,10.087123287671233,
1983,651.2,9.9546875,7.0,37.0,22.0,11.0,1.0,57.0,0.0,57.0,122.7,15,109,0,27,37.0,25.0,7.4,-2.8,10.684931506849315,7.397260273972603,12.054794520547945,7.123287671232877,0,6,10.281643835616439,
1984,1213.7,15.2,4.0,28.0,35.0,16.0,7.0,357.5,114.5,114.5,169.0,13,101,0,22,33.9,25.0,6.5,-3.6,9.01639344262295,13.934426229508196,9.562841530054644,4.918032786885246,0,0,9.239244186046513,
1985,1207.1,17.817910447761193,5.0,26.0,29.0,21.0,8.0,554.4,108.0,108.0,169.4,3,102,0,18,35.7,22.4,9.5,-2.5,6.027397260273973,8.767123287671232,12.32876712328767,7.9452054794520555,0,0,9.83728323699422,
1986,1058.5,13.417948717948716,5.0,17.0,38.0,19.0,3.0,48.5,0.0,48.5,78.30000000000001,3,110,0,15,37.5,23.8,9.2,-0.7,7.397260273972603,8.21917808219178,10.684931506849315,8.493150684931507,0,0,9.953150684931508,
1987,1061.8,14.14864864864865,5.0,55.0,36.0,16.0,5.0,144.2,97.0,97.0,161.0,4,111,0,26,37.2,24.2,8.3,-2.8,9.863013698630137,9.04109589041096,13.150684931506849,10.684931506849315,0,7,10.056712328767123,
1988,938.7,15.490000000000002,10.0,32.0,29.0,19.0,5.0,254.5,0.0,77.5,196.5,18,111,0,21,33.8,23.7,8.7,-4.2,13.387978142076504,8.19672131147541,8.743169398907105,7.377049180327869,0,8,10.584972677595626,
1989,856.5,16.598039215686274,5.0,45.0,23.0,15.0,4.0,215.3,105.0,105.0,154.0,5,132,0,35,37.0,25.2,9.7,-2.4,7.123287671232877,4.10958904109589,14.520547945205479,16.164383561643834,7,0,10.835068493150684,
1990,1536.6,19.064999999999998,9.0,41.0,40.0,26.0,10.0,564.4,351.0,133.0,182.5,11,99,0,20,36.2,26.4,7.5,-3.0,7.9452054794520555,6.575342465753424,13.424657534246576,7.9452054794520555,0,0,9.85041095890411,
1991,1028.7,17.227118644067797,5.0,28.0,34.0,21.0,5.0,285.7,0.0,64.0,87.4,15,114,0,7,33.8,22.0,5.9,-3.6,12.054794520547945,7.9452054794520555,9.315068493150685,9.863013698630137,0,0,10.562465753424656,
1992,1177.6,17.70909090909091,4.0,21.0,34.0,23.0,6.0,303.1,181.0,98.0,111.2,13,106,0,16,33.2,25.3,7.2,-3.5,11.475409836065573,12.021857923497267,11.475409836065573,8.19672131147541,0,0,10.418852459016394,
1993,1389.3,16.47142857142857,5.0,30.0,37.0,21.0,10.0,553.5,197.5,110.0,230.5,13,116,0,12,36.7,23.5,8.1,-2.1,11.232876712328768,12.054794520547945,9.863013698630137,13.424657534246576,0,0,10.231780821917807,
1994,949.9,14.245454545454546,7.0,22.0,31.0,16.0,4.0,178.5,84.5,84.5,109.0,8,111,0,14,35.4,22.9,7.7,-3.3,8.493150684931507,10.136986301369863,12.602739726027398,12.054794520547945,0,0,10.06904109589041,
1995,966.8000000000001,13.905797101449275,7.0,18.0,29.0,15.0,4.0,174.2,108.0,108.0,134.10000000000002,21,116,0,16,39.9,23.4,7.9,-4.0,15.616438356164384,10.684931506849315,10.136986301369863,7.9452054794520555,0,0,10.869041095890411,
